date,SPY,TLT.O,XLK
2015-04-02,0.21877109,0.14092863,0.6403002
2015-04-06,0.21978319,0.14082955,0.63938725
2015-04-07,0.21862091,0.14148898,0.63989013
2015-04-08,0.22076842,0.14263588,0.6365957
2015-04-09,0.22043726,0.14336662,0.6361961
2015-04-10,0.22261892,0.14566584,0.6317152
2015-04-13,0.22298999,0.14876388,0.62824607
2015-04-14,0.22647661,0.14985873,0.6236647
2015-04-15,0.22670557,0.14979194,0.6235025
2015-04-16,0.22855413,0.15092912,0.6205168
2015-04-17,0.22852789,0.15153743,0.6199347
2015-04-20,0.22850941,0.15481102,0.61667955
2015-04-21,0.22978841,0.15749781,0.61271375
2015-04-22,0.23225708,0.16283378,0.6049092
2015-04-23,0.2342878,0.16856241,0.5971498
2015-04-24,0.23654771,0.17242765,0.59102464
2015-04-27,0.23822126,0.1776646,0.5841142
2015-04-28,0.23994547,0.18228129,0.5777733
2015-04-29,0.2428606,0.18622296,0.5709165
2015-04-30,0.24405688,0.1907638,0.5651793
2015-05-01,0.2462172,0.19509973,0.5586831
2015-05-04,0.2489182,0.20057318,0.5505087
2015-05-05,0.2517804,0.2074514,0.5407682
2015-05-06,0.25263062,0.21139959,0.5359698
2015-05-07,0.25309643,0.21010415,0.5367994
2015-05-08,0.2552117,0.21537456,0.52941376
2015-05-11,0.25600132,0.21840408,0.52559465
2015-05-12,0.25444022,0.217554,0.5280058
2015-05-13,0.25486162,0.21618807,0.5289504
2015-05-14,0.2557378,0.21650182,0.5277604
2015-05-15,0.25408953,0.21599124,0.5299192
2015-05-18,0.25360128,0.21384384,0.53255486
2015-05-19,0.2524681,0.20914945,0.5383825
2015-05-20,0.25323015,0.2067393,0.54003054
2015-05-21,0.25177023,0.2043256,0.5439042
2015-05-22,0.25169975,0.20297529,0.545325
2015-05-26,0.24903363,0.19696185,0.55400455
2015-05-27,0.24914597,0.19465482,0.55619913
2015-05-28,0.24806285,0.19191158,0.56002563
2015-05-29,0.2470266,0.18917379,0.5637996
2015-06-01,0.2434151,0.18566158,0.5709233
2015-06-02,0.24020854,0.18017109,0.57962036
2015-06-03,0.23823473,0.17461309,0.5871522
2015-06-04,0.23592272,0.17201084,0.5920664
2015-06-05,0.23228477,0.16524723,0.602468
2015-06-08,0.22922076,0.16149789,0.60928136
2015-06-09,0.22859646,0.15783682,0.6135667
2015-06-10,0.22514519,0.1554158,0.61943895
2015-06-11,0.22276175,0.15242557,0.62481266
2015-06-12,0.22309582,0.15117124,0.6257329
2015-06-15,0.22182047,0.14960498,0.62857455
2015-06-16,0.22022147,0.14644462,0.6333339
2015-06-17,0.2205167,0.14584525,0.633638
2015-06-18,0.21872047,0.14339751,0.63788205
2015-06-19,0.21847342,0.14142866,0.640098
2015-06-22,0.21810767,0.1420527,0.6398396
2015-06-23,0.21797003,0.13921054,0.64281946
2015-06-24,0.21706463,0.13890953,0.64402586
2015-06-25,0.2174646,0.13970414,0.64283127
2015-06-26,0.21656838,0.13837567,0.64505595
2015-06-29,0.21660034,0.13790269,0.64549696
2015-06-30,0.21613868,0.13743946,0.6464219
2015-07-01,0.2179364,0.1381925,0.64387107
2015-07-02,0.21964622,0.13958132,0.6407725
2015-07-06,0.22123475,0.14237827,0.636387
2015-07-07,0.22362252,0.14485662,0.63152087
2015-07-08,0.2263917,0.14643766,0.6271706
2015-07-09,0.22983748,0.14993508,0.6202274
2015-07-10,0.23145185,0.1522698,0.61627835
2015-07-13,0.23299886,0.15540011,0.611601
2015-07-14,0.23372385,0.1579329,0.60834324
2015-07-15,0.23587911,0.16078654,0.60333437
2015-07-16,0.23693131,0.16200732,0.6010614
2015-07-17,0.23694304,0.16442767,0.5986293
2015-07-20,0.24234702,0.16643378,0.59121925
2015-07-21,0.24368419,0.16811614,0.5881996
2015-07-22,0.24865717,0.16991289,0.58142996
2015-07-23,0.25462624,0.17511353,0.5702602
2015-07-24,0.25718766,0.17857094,0.5642414
2015-07-27,0.26138255,0.18244171,0.55617577
2015-07-28,0.2649097,0.1861363,0.54895395
2015-07-29,0.26929697,0.18915892,0.5415442
2015-07-30,0.26903743,0.19366771,0.5372948
2015-07-31,0.27001002,0.19617602,0.53381395
2015-08-03,0.2701431,0.19702512,0.5328317
2015-08-04,0.2710219,0.19922295,0.5297551
2015-08-05,0.26954302,0.19728324,0.53317374
2015-08-06,0.26896217,0.19881374,0.5322241
2015-08-07,0.26672554,0.19709422,0.53618026
2015-08-10,0.26583457,0.19885872,0.5353067
2015-08-11,0.26467645,0.19903734,0.53628623
2015-08-12,0.2661603,0.20041502,0.5334247
2015-08-13,0.2653324,0.20376125,0.53090644
2015-08-14,0.26289806,0.20226695,0.5348349
2015-08-17,0.2600283,0.20234066,0.53763103
2015-08-18,0.2565881,0.19908404,0.54432786
2015-08-19,0.25270742,0.19629204,0.5510005
2015-08-20,0.24972653,0.19521649,0.5550569
2015-08-21,0.25070444,0.1961171,0.5531785
2015-08-24,0.24761078,0.19494426,0.557445
2015-08-25,0.24663459,0.2080128,0.5453526
2015-08-26,0.23971215,0.21512017,0.54516774
2015-08-27,0.24235399,0.21637493,0.54127103
2015-08-28,0.24617903,0.2147464,0.5390746
2015-08-31,0.24299037,0.21689162,0.540118
2015-09-01,0.24939717,0.27197906,0.47862378
2015-09-02,0.2355392,0.32299787,0.44146293
2015-09-03,0.23383005,0.37545037,0.39071953
2015-09-04,0.22340375,0.4220743,0.35452196
2015-09-08,0.23501223,0.4575991,0.3073886
2015-09-09,0.22422375,0.51342916,0.26234704
2015-09-10,0.2156942,0.5467105,0.23759526
2015-09-11,0.21074626,0.55277413,0.23647955
2015-09-14,0.21182273,0.590452,0.19772524
2015-09-15,0.21060783,0.6101548,0.17923738
2015-09-16,0.20426813,0.630863,0.16486897
2015-09-17,0.19811812,0.6431126,0.15876931
2015-09-18,0.19386299,0.6515171,0.15461987
2015-09-21,0.19657303,0.65853626,0.1448907
2015-09-22,0.19569886,0.65865,0.14565112
2015-09-23,0.19246642,0.6691987,0.13833481
2015-09-24,0.18892194,0.67861456,0.13246356
2015-09-25,0.18491268,0.68373674,0.1313506
2015-09-28,0.1733214,0.70427257,0.12240608
2015-09-29,0.17961763,0.69878894,0.121593356
2015-09-30,0.16665865,0.7181701,0.115171224
2015-10-01,0.16654249,0.7166238,0.11683379
2015-10-02,0.15873682,0.7315633,0.109699786
2015-10-05,0.15857777,0.73302996,0.108392246
2015-10-06,0.15591367,0.7436244,0.10046201
2015-10-07,0.15173917,0.74770284,0.100558005
2015-10-08,0.1477379,0.75006324,0.10219886
2015-10-09,0.13545032,0.76306015,0.10148958
2015-10-12,0.1324762,0.762646,0.1048778
2015-10-13,0.1376127,0.75214857,0.11023869
2015-10-14,0.13234986,0.75667137,0.110978685
2015-10-15,0.13231726,0.7464559,0.12122685
2015-10-16,0.123939544,0.7435279,0.13253255
2015-10-19,0.120491445,0.71279943,0.16670913
2015-10-20,0.13054954,0.67690194,0.1925485
2015-10-21,0.13878326,0.64973223,0.2114846
2015-10-22,0.13347705,0.63257617,0.23394686
2015-10-23,0.13876897,0.577624,0.28360698
2015-10-26,0.12927908,0.55141747,0.31930342
2015-10-27,0.13396232,0.53623855,0.32979912
2015-10-28,0.1336372,0.50197315,0.36438966
2015-10-29,0.13501014,0.47605315,0.3889367
2015-10-30,0.13462983,0.4538652,0.411505
2015-11-02,0.13392903,0.43847948,0.42759144
2015-11-03,0.13542911,0.4082031,0.45636782
2015-11-04,0.12883267,0.3685673,0.5026
2015-11-05,0.1346557,0.35268265,0.5126617
2015-11-06,0.13904831,0.33865547,0.5222962
2015-11-09,0.1292966,0.3242769,0.54642653
2015-11-10,0.13142055,0.28715652,0.581423
2015-11-11,0.12458475,0.2551891,0.62022614
2015-11-12,0.12401711,0.23372881,0.6422541
2015-11-13,0.12387603,0.23637494,0.63974905
2015-11-16,0.12363107,0.23589948,0.6404695
2015-11-17,0.12421562,0.23570326,0.64008117
2015-11-18,0.12623385,0.2440438,0.62972236
2015-11-19,0.12812482,0.25224808,0.6196271
2015-11-20,0.1259876,0.2490592,0.6249532
2015-11-23,0.12407923,0.2479624,0.6279584
2015-11-24,0.12311614,0.246379,0.63050485
2015-11-25,0.12460707,0.24037892,0.63501394
2015-11-27,0.122890994,0.2410388,0.63607025
2015-11-30,0.12206599,0.23893738,0.6389966
2015-12-01,0.12175277,0.23511748,0.6431297
2015-12-02,0.12164155,0.23530583,0.64305264
2015-12-03,0.121799156,0.23270613,0.6454947
2015-12-04,0.122288294,0.23137613,0.64633554
2015-12-07,0.12251319,0.23199002,0.6454968
2015-12-08,0.12350537,0.22637846,0.6501162
2015-12-09,0.121995166,0.22806446,0.6499404
2015-12-10,0.12165764,0.22341122,0.6549311
2015-12-11,0.12146209,0.22380753,0.6547303
2015-12-14,0.120431066,0.21882688,0.66074204
2015-12-15,0.11814851,0.20994815,0.6719033
2015-12-16,0.117119685,0.20426747,0.6786128
2015-12-17,0.11665364,0.20080005,0.6825464
2015-12-18,0.11301453,0.20061883,0.6863666
2015-12-21,0.110117905,0.1833693,0.7065128
2015-12-22,0.1093375,0.17374437,0.7169182
2015-12-23,0.11040741,0.1708345,0.71875805
2015-12-24,0.10968761,0.16153228,0.72878015
2015-12-28,0.10593566,0.15462546,0.7394389
2015-12-29,0.10168475,0.14243673,0.7558785
2015-12-30,0.09779571,0.1288953,0.77330893
2015-12-31,0.09339446,0.11823983,0.7883657
2016-01-04,0.090244874,0.11044067,0.7993145
2016-01-05,0.08448765,0.09997675,0.8155356
2016-01-06,0.07966168,0.09486281,0.8254756
2016-01-07,0.07773831,0.0900045,0.83225715
2016-01-08,0.07237217,0.08096455,0.8466633
2016-01-11,0.07060756,0.077718236,0.85167426
2016-01-12,0.07023071,0.07552133,0.85424805
2016-01-13,0.071380764,0.07555714,0.8530621
2016-01-14,0.06861729,0.070577264,0.8608055
2016-01-15,0.066725254,0.06683763,0.86643714
2016-01-19,0.06785685,0.066634364,0.8655088
2016-01-20,0.067017525,0.063630186,0.8693523
2016-01-21,0.06456059,0.0597961,0.8756433
2016-01-22,0.06250354,0.056734856,0.8807616
2016-01-25,0.06071126,0.054097887,0.8851909
2016-01-26,0.058620807,0.048290037,0.8930892
2016-01-27,0.05771471,0.04623536,0.8960499
2016-01-28,0.056916274,0.04400849,0.89907527
2016-01-29,0.05593537,0.041604023,0.90246063
2016-02-01,0.055719968,0.041535106,0.9027449
2016-02-02,0.053704657,0.037638012,0.9086573
2016-02-03,0.05355195,0.037793558,0.90865445
2016-02-04,0.052426767,0.036192756,0.9113804
2016-02-05,0.05247801,0.035657972,0.911864
2016-02-08,0.05184498,0.034601707,0.9135533
2016-02-09,0.050781503,0.032603193,0.91661525
2016-02-10,0.05159542,0.033782795,0.9146218
2016-02-11,0.051734075,0.032932855,0.91533303
2016-02-12,0.05181961,0.03232505,0.9158554
2016-02-16,0.052566715,0.032322343,0.91511095
2016-02-17,0.053737134,0.032289345,0.9139735
2016-02-18,0.054597378,0.03253191,0.9128707
2016-02-19,0.055712447,0.034279745,0.91000783
2016-02-22,0.05799019,0.034686003,0.90732384
2016-02-23,0.05780757,0.034331694,0.90786076
2016-02-24,0.058628216,0.03466006,0.90671164
2016-02-25,0.060069475,0.033985205,0.9059453
2016-02-26,0.061382778,0.034277905,0.9043393
2016-02-29,0.06345057,0.037442103,0.8991073
2016-03-01,0.065529115,0.040826842,0.89364403
2016-03-02,0.066672824,0.0381856,0.8951416
2016-03-03,0.06651105,0.038260467,0.8952285
2016-03-04,0.06951722,0.03920836,0.8912744
2016-03-07,0.07330055,0.04129147,0.8854079
2016-03-08,0.07330989,0.042384584,0.88430554
2016-03-09,0.07548314,0.042755928,0.88176095
2016-03-10,0.0782802,0.04496909,0.8767507
2016-03-11,0.082657285,0.050502647,0.86684006
2016-03-14,0.08405735,0.054483224,0.8614595
2016-03-15,0.08349556,0.055433054,0.86107147
2016-03-16,0.08531528,0.05536155,0.8593232
2016-03-17,0.0875726,0.0561203,0.8563071
2016-03-18,0.088680014,0.05699583,0.85432416
2016-03-21,0.09203676,0.062625274,0.8453379
2016-03-22,0.096582025,0.06634245,0.8370755
