date,SPY,TLT.O,XLK
2015-04-02,4.294811e-07,0.9146053,0.08539421
2015-04-06,6.870256e-07,0.91977084,0.080228545
2015-04-07,1.7717591e-08,0.8342091,0.16579096
2015-04-08,1.3995503e-08,0.9687344,0.031265594
2015-04-09,7.2570174e-06,0.9640039,0.035988852
2015-04-10,0.0039683497,0.9687081,0.027323589
2015-04-13,0.17140324,0.8141422,0.014454547
2015-04-14,0.008906207,0.983694,0.0073997704
2015-04-15,0.001847852,0.9976799,0.00047226372
2015-04-16,0.2643035,0.7354049,0.00029161386
2015-04-17,0.97209543,0.027903061,1.5185861e-06
2015-04-20,0.9597235,0.040266573,9.967706e-06
2015-04-21,0.066476844,0.9334869,3.631081e-05
2015-04-22,0.8109594,0.18903966,9.246883e-07
2015-04-23,0.9999751,2.492132e-05,3.740879e-11
2015-04-24,1.0,8.42952e-09,1.467875e-15
2015-04-27,1.0,1.0620195e-09,1.520408e-17
2015-04-28,1.0,5.2661814e-13,1.3109308e-21
2015-04-29,1.0,9.405488e-18,6.060257e-26
2015-04-30,1.0,1.7734406e-23,4.537509e-31
2015-05-01,1.0,1.6512045e-26,7.390193e-35
2015-05-04,1.0,1.8742745e-26,7.383761e-37
2015-05-05,1.0,3.723061e-27,1.5821335e-38
2015-05-06,1.0,1.0876758e-27,3.674195e-38
2015-05-07,1.0,8.442946e-30,5.268563e-39
2015-05-08,1.0,3.9666807e-30,1.72821e-40
2015-05-11,1.0,1.1388215e-29,1.0063e-41
2015-05-12,1.0,2.489286e-28,8.469e-41
2015-05-13,1.0,3.8860023e-28,2.79195e-39
2015-05-14,1.0,5.4844466e-29,2.624876e-39
2015-05-15,1.0,5.7616566e-29,3.19324e-40
2015-05-18,1.0,5.282695e-30,2.3354e-41
2015-05-19,1.0,1.6338431e-25,6.8055614e-37
2015-05-20,1.0,1.542173e-24,1.1556377e-32
2015-05-21,1.0,1.153811e-22,1.7946118e-31
2015-05-22,1.0,6.4342636e-22,9.7645824e-32
2015-05-26,1.0,1.4874761e-20,5.140186e-29
2015-05-27,1.0,1.3459283e-13,4.406191e-20
2015-05-28,1.0,4.2639212e-12,1.7395444e-15
2015-05-29,1.0,5.2631295e-09,7.404014e-14
2015-06-01,1.0,2.5184708e-09,2.0120823e-13
2015-06-02,0.99998605,2.3601333e-06,1.153607e-05
2015-06-03,0.19606896,0.011072289,0.79285884
2015-06-04,0.00017750481,0.0055956733,0.9942268
2015-06-05,4.576981e-06,0.0021398808,0.9978555
2015-06-08,2.2959988e-07,1.7374217e-05,0.99998236
2015-06-09,1.0617815e-10,2.4360788e-06,0.9999976
2015-06-10,4.481676e-13,8.9459576e-08,0.9999999
2015-06-11,1.418052e-17,5.0041464e-09,1.0
2015-06-12,1.8251055e-17,3.3129308e-09,1.0
2015-06-15,2.6428023e-15,9.037419e-08,0.9999999
2015-06-16,3.77529e-20,7.4260925e-10,1.0
2015-06-17,3.846398e-23,4.7265525e-11,1.0
2015-06-18,2.5965613e-25,3.327466e-12,1.0
2015-06-19,5.8712294e-25,1.0495929e-12,1.0
2015-06-22,1.5505746e-22,1.8027748e-11,1.0
2015-06-23,3.310256e-22,1.5628468e-10,1.0
2015-06-24,1.5036999e-22,8.004229e-10,1.0
2015-06-25,2.1299227e-20,1.516505e-08,1.0
2015-06-26,3.684761e-16,6.728611e-07,0.9999993
2015-06-29,4.8654673e-18,5.119586e-07,0.9999995
2015-06-30,4.449864e-16,0.0001909473,0.9998091
2015-07-01,8.883914e-12,0.92242503,0.07757496
2015-07-02,2.4120174e-08,0.9738763,0.026123717
2015-07-06,0.00020684143,0.7133574,0.28643578
2015-07-07,1.764877e-08,0.9949662,0.0050337724
2015-07-08,1.4825526e-08,0.9999877,1.2281602e-05
2015-07-09,2.005046e-08,1.0,1.3246214e-10
2015-07-10,1.8199526e-05,0.99998176,7.137619e-10
2015-07-13,1.0635432e-05,0.9999888,6.4275923e-07
2015-07-14,2.9407182e-10,0.9999999,8.192551e-08
2015-07-15,1.1704311e-10,1.0,1.175415e-11
2015-07-16,3.2074035e-09,1.0,2.4423436e-18
2015-07-17,3.1536474e-05,0.9999684,2.173786e-20
2015-07-20,0.9484209,0.051579133,1.5575644e-19
2015-07-21,0.9781692,0.021830827,3.8381494e-20
2015-07-22,0.0013162118,0.99868375,1.603928e-25
2015-07-23,1.0,1.5562195e-10,3.1173824e-37
2015-07-24,1.0,4.0470105e-25,0.0
2015-07-27,1.0,4.9268703e-22,1.85e-43
2015-07-28,1.0,2.2838346e-10,2.5787532e-33
2015-07-29,0.0004698661,0.9995302,1.229707e-28
2015-07-30,1.0,4.9235134e-12,1.438721e-37
2015-07-31,1.0,6.9308047e-19,1.197418e-39
2015-08-03,1.0,3.7055595e-21,6.4523e-41
2015-08-04,1.0,9.328082e-13,2.7184306e-35
2015-08-05,1.0,6.511299e-15,1.6823633e-36
2015-08-06,1.0,2.3166995e-33,0.0
2015-08-07,1.0,8.88046e-37,0.0
2015-08-10,1.0,5.039597e-35,0.0
2015-08-11,1.0,5.846912e-25,2.3367717e-37
2015-08-12,1.0,6.151207e-34,7.9236e-41
2015-08-13,1.0,1.2883083e-38,8.3592e-40
2015-08-14,1.0,5.1565655e-29,4.4966515e-32
2015-08-17,1.0,2.3496397e-25,4.1859437e-30
2015-08-18,1.0,1.3691744e-32,1.6669129e-33
2015-08-19,1.0,2.12465e-40,1.8671411e-38
2015-08-20,1.0,9.982119e-32,4.4536322e-32
2015-08-21,1.0,1.5230084e-17,1.0613731e-21
2015-08-24,1.0,4.435682e-11,4.1018924e-17
2015-08-25,1.0,2.6777597e-17,3.3169014e-24
2015-08-26,1.0,2.721186e-23,1.8554585e-26
2015-08-27,1.0,3.2404808e-12,1.5447515e-17
2015-08-28,0.019835938,0.9801641,1.7331603e-09
2015-08-31,2.565795e-06,0.9999974,1.7262019e-13
2015-09-01,1.0,1.4401531e-16,2.1838103e-29
2015-09-02,1.0,7.0087927e-17,7.569205e-26
2015-09-03,0.47882238,0.5211776,6.381998e-12
2015-09-04,0.00047794066,0.9995221,5.481957e-12
2015-09-08,0.99998546,1.4508485e-05,3.2785476e-17
2015-09-09,1.0,4.860271e-35,0.0
2015-09-10,1.0,1.848777e-39,0.0
2015-09-11,1.0,9.407758e-31,0.0
2015-09-14,0.9999993,6.8553624e-07,2.6359917e-32
2015-09-15,1.0,5.7097287e-09,1.3219984e-37
2015-09-16,1.0,1.0803956e-31,0.0
2015-09-17,1.0,0.0,0.0
2015-09-18,1.0,4.5e-44,0.0
2015-09-21,1.0,1.0221643e-24,0.0
2015-09-22,1.0,6.367991e-15,0.0
2015-09-23,1.0,6.114771e-37,0.0
2015-09-24,1.0,1.6499477e-38,0.0
2015-09-25,1.0,1.0014129e-14,0.0
2015-09-28,0.01348472,0.9865153,1.57e-43
2015-09-29,1.0,3.6363503e-09,0.0
2015-09-30,1.0,1.944e-42,0.0
2015-10-01,1.0,3.5e-44,0.0
2015-10-02,1.0,7.1640397e-23,0.0
2015-10-05,1.401684e-20,1.0,2.27417e-34
2015-10-06,1.0,8.806129e-14,2.102592e-39
2015-10-07,1.0,8.103343e-39,0.0
2015-10-08,1.0,6.510235e-10,1.1660105e-21
2015-10-09,2.4250275e-17,0.9999567,4.3224623e-05
2015-10-12,5.749936e-20,1.0,1.6255955e-15
2015-10-13,2.1474619e-10,1.0,7.5601767e-25
2015-10-14,5.7340827e-16,0.9999989,1.1027821e-06
2015-10-15,6.438804e-30,8.378773e-12,1.0
2015-10-16,3.587502e-34,5.191018e-13,1.0
2015-10-19,5.1744755e-37,1.3063218e-12,1.0
2015-10-20,1.494804e-33,1.3901785e-10,1.0
2015-10-21,6.622894e-32,3.177418e-11,1.0
2015-10-22,8.270348e-34,1.3657351e-12,1.0
2015-10-23,1.3355582e-36,4.2517536e-13,1.0
2015-10-26,1.3825809e-37,2.6397586e-12,1.0
2015-10-27,4.2636274e-35,5.5204717e-12,1.0
2015-10-28,3.1266306e-33,1.59236e-12,1.0
2015-10-29,5.3041694e-34,6.757643e-13,1.0
2015-10-30,1.7753232e-37,3.694981e-13,1.0
2015-11-02,6.4833677e-37,6.242522e-12,1.0
2015-11-03,7.0953696e-37,4.570787e-12,1.0
2015-11-04,1.2291542e-36,1.0305531e-12,1.0
2015-11-05,1.5590808e-36,7.7631825e-12,1.0
2015-11-06,1.8804874e-37,2.112805e-11,1.0
2015-11-09,1.1238636e-36,1.964931e-11,1.0
2015-11-10,1.1208886e-35,2.4635887e-11,1.0
2015-11-11,2.931553e-35,8.2809246e-11,1.0
2015-11-12,1.9803736e-36,9.488973e-10,1.0
2015-11-13,5.915913e-36,1.514761e-09,1.0
2015-11-16,1.6512087e-36,1.3020371e-10,1.0
2015-11-17,3.119275e-36,4.7633054e-11,1.0
2015-11-18,3.373204e-36,5.5351007e-10,1.0
2015-11-19,4.7447446e-37,8.72856e-09,1.0
2015-11-20,2.3153697e-37,1.9212871e-09,1.0
2015-11-23,2.8684512e-37,1.3323802e-10,1.0
2015-11-24,5.8800948e-36,9.7124545e-11,1.0
2015-11-25,3.709293e-36,6.113129e-10,1.0
2015-11-27,1.0234579e-35,1.981644e-09,1.0
2015-11-30,4.800072e-36,1.5986893e-09,1.0
2015-12-01,4.3032496e-36,2.3253417e-10,1.0
2015-12-02,1.5366803e-34,6.22543e-10,1.0
2015-12-03,1.0421605e-34,6.3064864e-09,1.0
2015-12-04,5.353642e-36,2.3430489e-09,1.0
2015-12-07,8.484663e-37,5.680389e-09,1.0
2015-12-08,1.7789375e-36,6.549121e-09,1.0
2015-12-09,7.373322e-36,7.618473e-09,1.0
2015-12-10,4.858046e-35,1.3178362e-08,1.0
2015-12-11,1.4576265e-35,1.37341e-08,1.0
2015-12-14,5.1927866e-37,8.499523e-09,1.0
2015-12-15,1.5864451e-35,2.3620755e-08,1.0
2015-12-16,1.1182113e-34,6.9463006e-08,0.9999999
2015-12-17,1.3467228e-34,3.6611205e-08,1.0
2015-12-18,2.874851e-35,1.7183801e-07,0.9999999
2015-12-21,2.6183281e-36,5.5659984e-07,0.9999994
2015-12-22,2.4232902e-35,6.9502753e-06,0.9999931
2015-12-23,8.3728086e-35,1.950571e-05,0.99998045
2015-12-24,1.1547342e-34,2.5738416e-05,0.99997425
2015-12-28,1.4547517e-35,5.1561554e-05,0.9999484
2015-12-29,7.325582e-35,0.00024395027,0.99975604
2015-12-30,8.716426e-34,0.0011318589,0.9988682
2015-12-31,5.478237e-34,0.00021856732,0.9997814
2016-01-04,6.1988997e-34,0.00011187422,0.99988806
2016-01-05,1.9219539e-34,0.00013612288,0.99986386
2016-01-06,1.3576604e-33,0.0013671975,0.9986327
2016-01-07,1.3219655e-32,0.0029185405,0.99708146
2016-01-08,9.265434e-33,0.00022834986,0.99977165
2016-01-11,7.2544316e-34,4.43519e-05,0.99995565
2016-01-12,2.2775017e-34,6.1858955e-05,0.99993813
2016-01-13,5.551437e-33,0.0007127788,0.9992873
2016-01-14,6.642553e-31,0.00039730233,0.99960274
2016-01-15,4.377583e-30,5.8008452e-05,0.99994195
2016-01-19,2.9962554e-31,6.344309e-06,0.9999937
2016-01-20,6.3780425e-32,4.876862e-06,0.9999951
2016-01-21,3.352316e-30,4.2840843e-06,0.9999957
2016-01-22,4.196756e-28,1.6032116e-07,0.9999999
2016-01-25,7.822409e-28,4.8117272e-08,1.0
2016-01-26,8.03364e-29,3.276285e-08,1.0
2016-01-27,8.940349e-30,4.1898566e-08,1.0
2016-01-28,1.2104312e-27,4.1451562e-10,1.0
2016-01-29,4.666526e-26,4.7553146e-12,1.0
2016-02-01,2.6860124e-27,8.4646743e-13,1.0
2016-02-02,3.942969e-28,1.2757931e-12,1.0
2016-02-03,3.173817e-28,9.436634e-13,1.0
2016-02-04,5.2749283e-06,1.9318928e-13,0.99999475
2016-02-05,1.1532115e-24,1.6025794e-12,1.0
2016-02-08,5.2462763e-26,6.716818e-13,1.0
2016-02-09,2.2486692e-27,8.0291714e-13,1.0
2016-02-10,3.243737e-25,4.215081e-12,1.0
2016-02-11,1.0,3.332587e-26,9.549335e-19
2016-02-12,4.179e-24,1.4375351e-12,1.0
2016-02-16,4.3188143e-25,1.4991858e-12,1.0
2016-02-17,2.776409e-26,5.729758e-13,1.0
2016-02-18,1.7003506e-22,2.4843166e-12,1.0
2016-02-19,1.8060617e-22,2.8933574e-12,1.0
2016-02-22,1.5391287e-24,8.576926e-13,1.0
2016-02-23,1.3866292e-26,6.103077e-13,1.0
2016-02-24,1.8293331e-28,8.3709535e-14,1.0
2016-02-25,1.1302029e-25,8.9110083e-13,1.0
2016-02-26,1.9467208e-28,2.7244147e-13,1.0
2016-02-29,5.8429314e-29,8.324799e-13,1.0
2016-03-01,5.4365557e-30,3.5033925e-13,1.0
2016-03-02,4.971424e-30,2.673783e-14,1.0
2016-03-03,1.8983843e-29,6.185636e-14,1.0
2016-03-04,1.4506623e-31,2.5046107e-14,1.0
2016-03-07,2.1567364e-31,1.5893522e-13,1.0
2016-03-08,4.379217e-33,9.388152e-15,1.0
2016-03-09,2.5942862e-31,2.3789783e-14,1.0
2016-03-10,8.299016e-33,1.8559723e-14,1.0
2016-03-11,3.4167213e-34,2.6553965e-13,1.0
2016-03-14,3.5051847e-35,2.7984394e-12,1.0
2016-03-15,4.730761e-35,6.1866896e-13,1.0
2016-03-16,1.4302578e-34,2.7206603e-13,1.0
2016-03-17,7.532413e-36,5.2838058e-14,1.0
2016-03-18,1.8554702e-36,6.5112184e-13,1.0
2016-03-21,2.0918808e-38,1.09013845e-13,1.0
