date,SPY,TLT.O,XLK
2015-04-02,1.3109155e-05,3.919101e-05,0.99994767
2015-04-06,7.002951e-10,1.6788668e-09,1.0
2015-04-07,0.0017207265,0.22759707,0.77068216
2015-04-08,4.7257526e-10,2.0489048e-09,1.0
2015-04-09,1.3350246e-08,3.5064296e-08,1.0
2015-04-10,2.3775252e-19,5.7808613e-19,1.0
2015-04-13,4.2083728e-16,1.4054624e-15,1.0
2015-04-14,9.4607525e-12,3.608599e-11,1.0
2015-04-15,4.0155875e-05,0.0032608167,0.99669904
2015-04-16,0.0003476188,0.01992558,0.9797268
2015-04-17,0.0003967704,0.9018864,0.097716816
2015-04-20,0.00030208964,0.97224855,0.027449459
2015-04-21,0.0011230261,0.25215587,0.7467211
2015-04-22,0.0008237595,0.31286922,0.68630695
2015-04-23,8.0233905e-05,0.9951998,0.004720002
2015-04-24,3.1353574e-07,8.4670313e-07,0.9999988
2015-04-27,0.00037713378,0.87040335,0.12921947
2015-04-28,2.669755e-05,0.998487,0.0014862599
2015-04-29,1.3680261e-09,1.5018133e-08,1.0
2015-04-30,0.00010738528,0.007256074,0.99263656
2015-05-01,4.7876593e-08,2.0244e-06,0.999998
2015-05-04,1.2544933e-08,1.9263634e-07,0.99999976
2015-05-05,9.207296e-06,0.0020238473,0.99796695
2015-05-06,2.882586e-10,5.525481e-10,1.0
2015-05-07,5.4333494e-08,2.90749e-07,0.99999964
2015-05-08,6.5717715e-05,0.99734676,0.0025875138
2015-05-11,3.336532e-10,7.0556283e-10,1.0
2015-05-12,1.960631e-08,0.99999535,4.6789983e-06
2015-05-13,1.0669278e-06,5.2671917e-06,0.9999937
2015-05-14,1.5658911e-09,2.953311e-09,1.0
2015-05-15,1.3620104e-06,1.0882411e-05,0.9999877
2015-05-18,0.00094620127,0.9051036,0.09395016
2015-05-19,2.7784645e-06,0.9985985,0.0013987429
2015-05-20,9.2169813e-07,2.046086e-06,0.999997
2015-05-21,0.00046698304,0.96690714,0.032625962
2015-05-22,1.423491e-13,2.5316668e-13,1.0
2015-05-26,5.3363857e-07,6.5029e-05,0.99993443
2015-05-27,7.635857e-09,1.6405055e-08,1.0
2015-05-28,7.99952e-12,1.8529756e-11,1.0
2015-05-29,0.00021279597,0.0029953062,0.9967919
2015-06-01,1.3184457e-06,2.7244132e-06,0.99999595
2015-06-02,1.8835625e-12,3.4038545e-12,1.0
2015-06-03,3.3455049e-06,0.012832027,0.9871646
2015-06-04,3.923812e-11,7.0662774e-11,1.0
2015-06-05,5.9181247e-07,1.7956884e-06,0.9999976
2015-06-08,4.8365746e-07,1.205254e-06,0.99999833
2015-06-09,4.444359e-20,7.2493825e-20,1.0
2015-06-10,1.4909756e-07,5.2926765e-07,0.9999993
2015-06-11,7.5374024e-05,0.0018835693,0.9980411
2015-06-12,5.9067617e-08,1.3344852e-07,0.99999976
2015-06-15,6.9886774e-08,3.6778658e-07,0.9999995
2015-06-16,0.0016535629,0.7679346,0.23041184
2015-06-17,5.982388e-12,1.0870376e-11,1.0
2015-06-18,0.0001204126,0.9440358,0.05584378
2015-06-19,3.5900604e-05,0.0012593064,0.9987048
2015-06-22,1.0323392e-20,1.8412073e-20,1.0
2015-06-23,2.2504542e-05,0.032323264,0.9676542
2015-06-24,2.8490946e-05,9.064486e-05,0.9998808
2015-06-25,6.613938e-06,1.6177106e-05,0.99997723
2015-06-26,0.00032332877,0.0031423736,0.9965342
2015-06-29,1.3888906e-05,9.245943e-05,0.99989367
2015-06-30,7.8484955e-15,1.2719237e-14,1.0
2015-07-01,6.828115e-05,0.0012934165,0.99863833
2015-07-02,4.210214e-06,0.0007457639,0.99925
2015-07-06,3.0345903e-16,7.771626e-16,1.0
2015-07-07,3.4560583e-07,4.5236748e-06,0.9999951
2015-07-08,4.0839058e-17,6.5657163e-17,1.0
2015-07-09,1.1263472e-16,1.7919097e-16,1.0
2015-07-10,3.218082e-06,0.9965077,0.003489102
2015-07-13,1.8122804e-14,3.429488e-14,1.0
2015-07-14,2.8305906e-15,6.247444e-15,1.0
2015-07-15,4.330119e-07,2.865948e-05,0.9999709
2015-07-16,1.1389997e-10,2.0685686e-10,1.0
2015-07-17,1.3218012e-07,3.9865634e-07,0.9999995
2015-07-20,3.2296302e-07,0.99488837,0.0051112655
2015-07-21,0.000119494325,0.006579394,0.99330115
2015-07-22,1.3046953e-20,1.9713223e-20,1.0
2015-07-23,4.9084745e-05,0.0013999441,0.99855095
2015-07-24,4.642441e-05,0.0011003811,0.9988532
2015-07-27,7.2645965e-12,1.2458455e-11,1.0
2015-07-28,2.8416505e-08,1.011661e-05,0.99998987
2015-07-29,6.922453e-12,1.9947363e-11,1.0
2015-07-30,1.5681103e-22,2.172062e-22,1.0
2015-07-31,4.92427e-10,1.0316679e-09,1.0
2015-08-03,9.1785714e-18,1.70275e-17,1.0
2015-08-04,5.3136326e-13,8.3934525e-13,1.0
2015-08-05,1.472997e-10,1.0077625e-07,0.9999999
2015-08-06,2.28862e-16,6.818315e-16,1.0
2015-08-07,6.601014e-13,1.7303022e-11,1.0
2015-08-10,3.3532277e-10,7.306445e-10,1.0
2015-08-11,1.1475253e-11,2.4854315e-11,1.0
2015-08-12,1.3610899e-13,2.0680566e-13,1.0
2015-08-13,1.8988594e-06,5.141534e-05,0.9999467
2015-08-14,1.4607681e-06,0.00041415144,0.9995844
2015-08-17,1.3645811e-09,3.2855134e-09,1.0
2015-08-18,1.2045355e-07,4.0975556e-07,0.9999995
2015-08-19,8.3615386e-14,1.282558e-13,1.0
2015-08-20,2.0354323e-08,5.012746e-08,0.9999999
2015-08-21,8.520258e-11,3.479431e-10,1.0
2015-08-24,2.581314e-09,1.3486022e-07,0.9999999
2015-08-25,1.5239683e-12,5.826923e-08,1.0
2015-08-26,6.836641e-11,0.001067684,0.9989323
2015-08-27,3.813509e-24,1.0,8.1302484e-17
2015-08-28,1.4961792e-25,1.0,6.51872e-18
2015-08-31,1.7238098e-22,1.0,3.166751e-15
2015-09-01,1.7702793e-12,0.9984042,0.0015957716
2015-09-02,4.840081e-14,6.900359e-12,1.0
2015-09-03,2.4289923e-14,1.0,1.571502e-08
2015-09-04,1.9266535e-15,1.0,1.2621323e-09
2015-09-08,3.150961e-14,1.0,4.5857284e-08
2015-09-09,4.486046e-17,1.0,2.6503343e-11
2015-09-10,5.2306545e-11,2.891477e-06,0.99999714
2015-09-11,4.897708e-09,0.33592784,0.6640721
2015-09-14,4.15074e-10,0.99246734,0.0075326688
2015-09-15,1.5079396e-14,1.0,8.354164e-09
2015-09-16,1.0163777e-11,2.9649508e-08,1.0
2015-09-17,4.0608464e-10,0.9978573,0.002142721
2015-09-18,9.718952e-16,1.0,4.8063103e-10
2015-09-21,2.2240688e-11,0.9994479,0.000552141
2015-09-22,7.995457e-21,1.0,5.640423e-12
2015-09-23,2.4325306e-21,1.0,1.271058e-14
2015-09-24,1.298168e-11,1.1117314e-08,1.0
2015-09-25,9.650282e-22,1.0,1.3660828e-14
2015-09-28,6.263542e-10,0.9429098,0.05709029
2015-09-29,2.8383731e-10,0.20725808,0.79274195
2015-09-30,1.2704523e-21,1.0,2.463331e-14
2015-10-01,1.3716362e-14,1.0,1.1863813e-08
2015-10-02,1.0404443e-10,1.2333127e-05,0.9999877
2015-10-05,9.035452e-12,4.0347495e-05,0.9999597
2015-10-06,8.3940195e-19,2.690352e-18,1.0
2015-10-07,6.9821007e-09,9.651016e-05,0.99990344
2015-10-08,7.411478e-12,0.9999994,5.5650855e-07
2015-10-09,6.3796616e-15,1.0,6.577183e-10
2015-10-12,1.5542981e-10,0.0009831397,0.9990169
2015-10-13,1.0747366e-21,1.0,3.7813426e-13
2015-10-14,1.9672653e-13,1.8015948e-12,1.0
2015-10-15,1.0082752e-12,0.9999999,8.361308e-08
2015-10-16,5.3913245e-16,1.0,2.5967695e-10
2015-10-19,3.1521463e-09,1.3626913e-05,0.9999864
2015-10-20,7.112937e-08,0.033891935,0.966108
2015-10-21,5.130218e-13,1.0,2.5055787e-08
2015-10-22,4.9906186e-12,0.99999917,8.227485e-07
2015-10-23,1.447553e-12,0.99998474,1.530969e-05
2015-10-26,9.576021e-14,0.9886396,0.011360418
2015-10-27,3.2892004e-07,0.31167662,0.688323
2015-10-28,4.1065956e-08,0.9834894,0.016510574
2015-10-29,1.7285231e-07,0.4800029,0.5199969
2015-10-30,4.5667292e-10,0.9999176,8.231422e-05
2015-11-02,2.9814057e-11,0.99770147,0.002298511
2015-11-03,9.2474146e-11,0.9999558,4.4210352e-05
2015-11-04,9.626273e-08,0.067125045,0.9328749
2015-11-05,9.520949e-09,0.99352574,0.006474324
2015-11-06,1.6659029e-09,9.894587e-06,0.9999901
2015-11-09,5.126929e-08,0.06532585,0.934674
2015-11-10,1.3066258e-07,0.23448437,0.7655155
2015-11-11,7.491669e-08,0.8784729,0.12152697
2015-11-12,7.5185974e-10,8.142846e-07,0.99999917
2015-11-13,8.667563e-12,0.99999833,1.616678e-06
2015-11-16,1.3365795e-08,0.29636744,0.70363253
2015-11-17,2.1229439e-10,0.99999356,6.421646e-06
2015-11-18,2.2948232e-11,4.0543705e-07,0.99999964
2015-11-19,3.044507e-14,1.0,2.639093e-09
2015-11-20,6.258885e-09,0.994802,0.005198058
2015-11-23,2.905251e-07,0.8021672,0.19783251
2015-11-24,1.4639299e-08,0.99680674,0.0031932343
2015-11-25,1.1667802e-08,0.9989562,0.0010437603
