date,SPY,TLT.O,XLK
2015-04-02,0.99999714,1.3281795e-14,2.920582e-06
2015-04-06,0.999997,7.288838e-15,2.9960636e-06
2015-04-07,0.9999999,2.3847547e-12,8.728381e-08
2015-04-08,0.080824696,1.9022979e-37,0.9191753
2015-04-09,0.9999989,3.588705e-14,1.0763366e-06
2015-04-10,0.9999995,5.7690106e-14,4.3641555e-07
2015-04-13,0.99999976,1.1724466e-13,1.9789562e-07
2015-04-14,0.999938,3.130724e-05,3.0630927e-05
2015-04-15,0.99999976,5.885893e-14,1.8220187e-07
2015-04-16,7.428024e-06,0.99999106,1.5155098e-06
2015-04-17,0.9999982,1.7924677e-06,4.1136265e-11
2015-04-20,0.99835485,1.8580221e-29,0.0016451636
2015-04-21,1.0,8.625723e-19,5.8978893e-09
2015-04-22,1.0,5.96981e-10,8.0293966e-14
2015-04-23,1.0,2.0711908e-13,4.4199697e-09
2015-04-24,1.0,1.4343458e-10,1.4340661e-11
2015-04-27,1.0,1.4174297e-25,2.0488002e-08
2015-04-28,0.9999999,1.5101246e-17,1.1776646e-07
2015-04-29,1.0,3.3169657e-16,1.8138975e-08
2015-04-30,0.9999999,3.7316184e-13,6.5597376e-08
2015-05-01,1.0,2.312708e-11,3.0904541e-09
2015-05-04,0.9999999,5.4323703e-14,8.8859785e-08
2015-05-05,1.0,1.10921404e-10,1.3861896e-12
2015-05-06,0.9999999,2.1979258e-14,7.838917e-08
2015-05-07,1.0,2.4296225e-14,1.5197596e-08
2015-05-08,0.9999907,9.292726e-06,2.6471333e-10
2015-05-11,0.9999999,1.3825307e-07,8.934914e-14
2015-05-12,0.9999999,6.0196925e-15,1.4291265e-07
2015-05-13,1.0,6.1972038e-12,6.2259997e-10
2015-05-14,6.8457906e-05,0.99993145,6.617988e-08
2015-05-15,1.0,2.7021742e-15,6.266295e-09
2015-05-18,0.9999995,1.2783311e-15,5.1754506e-07
2015-05-19,0.9999994,8.8159126e-16,6.037877e-07
2015-05-20,0.5696684,0.43033156,2.746468e-16
2015-05-21,0.9999999,2.4885523e-15,8.439755e-08
2015-05-22,1.0,3.9611324e-22,5.803915e-09
2015-05-26,1.0,2.694172e-11,3.1266507e-09
2015-05-27,0.9999999,1.2199301e-07,1.791997e-10
2015-05-28,1.0,2.4955057e-08,6.353787e-14
2015-05-29,0.96932924,2.8593017e-33,0.030670755
2015-06-01,1.338559e-11,0.0,1.0
2015-06-02,0.967163,0.032836955,3.6952948e-11
2015-06-03,1.0,4.951073e-10,8.4718615e-13
2015-06-04,0.99998283,3.6987312e-21,1.722206e-05
2015-06-05,0.9917291,1.8493056e-30,0.0082708495
2015-06-08,0.9998461,2.0237835e-25,0.00015388883
2015-06-09,1.0,2.3258728e-11,2.157647e-11
2015-06-10,0.9999883,3.483008e-18,1.1688855e-05
2015-06-11,0.99983156,2.9993326e-19,0.00016844543
2015-06-12,0.9999877,1.5800253e-18,1.2225603e-05
2015-06-15,1.0,7.9216067e-10,9.922205e-11
2015-06-16,0.99999976,1.2217616e-16,2.497778e-07
2015-06-17,0.9559783,1.057443e-34,0.0440217
2015-06-18,0.9999777,4.812037e-25,2.2275606e-05
2015-06-19,1.0,2.9804236e-12,8.5747343e-13
2015-06-22,5.285334e-08,0.0,1.0
2015-06-23,0.03975008,1.671912e-33,0.96024996
2015-06-24,0.9998332,5.408712e-25,0.00016675387
2015-06-25,0.9824158,1e-45,0.017584197
2015-06-26,0.99920446,6.4926117e-21,0.00079553697
2015-06-29,2.2268523e-06,0.0,0.99999774
2015-06-30,3.020456e-11,0.0,1.0
2015-07-01,0.9478504,0.052149612,1.6020845e-15
2015-07-02,5.043497e-05,5.0331194e-27,0.9999496
2015-07-06,3.710927e-05,7.524615e-27,0.9999629
2015-07-07,8.9633095e-06,1.5978922e-27,0.99999106
2015-07-08,0.008166693,3.980726e-21,0.9918333
2015-07-09,0.99999714,7.497887e-14,2.900967e-06
